Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Senior Data Analyst,Employer Provided Salary:$110K - $135K,"PLEASE APPLY DIRECTLY TO THE APPONBOARD/BUILDBOX SITE USING THE LINK BELOW
https://jobs.lever.co/apponboard/512e0088-8147-40a8-b116-7a5cbbf504ff
AppOnboard is looking for a Senior Data Analyst to help with analyzing a plethora of real-time data sets to extract meaningful product insights about software usage which includes, but is not limited to, retention, conversion funnels and NPS. You should have experience optimizing and writing efficient queries on large scale datasets (billions of rows) and be able to interpret data, analyze results to support internal teams from Product/Engineering to Marketing with data requests and needs. You will also have hands on with building and maintaining KPI reports and dashboards to help key stakeholders measure, optimize and understand the performance of the software and its users. You should also ensure timely and accurate data analysis in a fast-paced, start-up environment.",-1,AppOnboard/Buildbox,Remote,-1,-1,-1,-1,-1,-1
Data Analyst,Employer Provided Salary:$60K - $110K,"Battea is currently in a hybrid work model, balancing in-office and work-from-home.
We are looking to fill multiple data analyst roles ranging from junior to senior level.
Background:
Founded in the mid‐1990’s, Battea – Class Action Services, is the preeminent provider of securities class action recovery services to the institutional investment community. Battea processes detailed historical trade data and efficiently handles filings and collections of class action settlement recoveries on behalf of hedge funds and proprietary trading firms. Through its highly automated Claims Engine technology, Battea provides institutional investors with a full-service, outsourced solution for securities class action claims processing.
We are looking for talented individuals that possess a unique combination of business acumen, technical skills, securities industry knowledge as well as strong interpersonal skills in order to provide technical data analysis and innovative problem solving skills. The role entails in depth data analysis and collaborating with data team co-workers and Customer Service Representatives to drive automation and efficient and timely data processing.",-1,"Battea - Class Action Services, LLC","Stamford, CT",-1,-1,-1,-1,-1,-1
Sr. Data Analyst,$45K - $93K (Glassdoor est.),"At World Fuel Services, our employees are the key to our global success.We are industry leaders due to the innumerable talents of our approximately 5000- strong professional team. Our people thrive in an entrepreneurial and culturally-diverse environment, where innovative thinking, collaboration and efficient execution are highly valued. Our high-performance culture is what allows us to drive sustained growth. Stronger together, we promote an environment where individuals can thrive.
When you click 'Apply', you will need to click on 'Create Account'. By creating an account, you will be able to view your applications and their statuses. Your password must contain 1 upper case letter, 1 number, and 1 special character.
World Fuel Services, is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.",3.0,"World Fuel Services
3.0","Miami, FL",1001 to 5000 Employees,1984,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
Data Analyst,Employer Provided Salary:$75K - $85K,"CarSaver, a fast-growing automotive technology and marketing company, is looking for a talented Data Analyst to help revolutionize the way the world buys cars.
CarSaver is actively working with multiple Fortune 100 companies to give consumers a fun, fast and easy way to buy, finance and insure their next car. If you have a proven track record and enjoy working in a fast-paced environment that celebrates creativity and demonstrated excellence, CarSaver invites you to apply for this position.
JOB DESCRIPTION:
As the Data Analyst, you will play a VITAL role in the success of our organization. As a key team member, you will be expected to be ORGANIZED, to have a POSITIVE attitude, and to consistently keep our organization flowing smoothly. Those with a mastery of these skills must apply!",3.6,"CarSaver
3.6",Remote,51 to 200 Employees,2013,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
Data Analyst,Employer Provided Salary:$76K - $87K,"CITY OF NEW YORK
DEPARTMENT OF CORRECTION
JOB POSTING NOTICE
Civil Service Title: City Research Scientist Level: II
Title Code No: 21744
Salary: $75,504 - $86,830
Frequency: Annual
Business Title: Data Analyst
75-20 Astoria Blvd
East Elmhurst, NY 11370",2.6,"New York City Department of Correction
2.6","Queens Village, NY",Unknown,-1,Government,-1,-1,Unknown / Non-Applicable
Senior Data Science Analyst,Employer Provided Salary:$100K,"This role provides an opportunity to leverage candidates’ data analysis expertise to provide insights into Healthcare Utilization and Delivery.
As a Senior Data Science Analyst, you would be responsible for implementation of established analytical methods for measurement/analysis/reporting on healthcare processes, utilization, outcomes, and cost. You would also be responsible for development and application of innovative approaches on the same.
Responsibilities
-- Leverage analytical skills and experience to complete project tasks and create project deliverables.
-- Execute data analysis tasks, including",-1,JM Talent Inc.,"Portland, OR",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Analyst - SQL and ETL Design,$70K - $123K (Glassdoor est.),"Job Title: Data Analyst - SQL and ETL Design
Location: Menlo Park, CA
Duration: 1 Year

Responsibilities:
Collaborate with growth marketers, program managers, and our central analytics team to gather data and metrics requirements.
Design, build, and maintain automated reporting, dashboards, and ongoing analysis to enable data driven decisions across our team and with partner teams. (e.g. using Tableau, etc.)
Build and optimize ETL processes to run marketing campaigns at scale and automate the campaign reporting
Write high-quality SQL queries to retrieve and analyze data from database tables







IND123",4.5,"Ursus
4.5","Menlo Park, CA",1 to 50 Employees,2015,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
Sr. Performance Analyst-Data Science,Employer Provided Salary:$61K - $90K,"EMPLOYER PROFILE: MARTA is one of the largest transit systems in the US and North America that provides bus and rail services. MARTA is committed to a culture of continuous improvement and setting a higher standard of service delivery. We are transforming our operations to deliver a world class transit experience.
The Office of Research and Analysis is seeking a Senior Performance Analyst (Data Science) with a demonstrated track record of advanced skills in complex data management and analysis. The successful candidate will serve as the Research and Analysis Unit’s data scientist, helping to efficiently query, validate, manage, manipulate and analyze data, turning it into actionable information that helps MARTA make better decisions. The Sr. Performance Analyst will also serve as consultant to Senior and Executive Management team members and the Board of Directors on Authority-wide matters, providing information to Executive level staff for short-term and long-term financial planning and other research projects. This position will require coding (R, SQL, Python), advanced data analytics (e.g., machine learning, statistical regression) as well as design and management of databases, methodologies, performance dashboards, reports, and statistical models. The successful candidate is innovative, intuitive, intellectually curious and enjoys anticipating, analyzing, and solving real-world problems that impact peoples’ jobs and lives. They possess advanced statistical, analytical, and computer science skills and are continuously finding ways to apply these skills to improve MARTA’s data analytics, business intelligence, operational efficiencies, and customer service. They stay current on relevant research, tools and methodologies, and are eager to adapt when better solutions become available. The successful candidate will design and conduct research and analyses that enhance innovation and assist in answering the most pressing questions in pursuit of achieving MARTA’s strategic goals. The Senior Performance Analyst is responsible for training Performance Analysts, Research Professionals and other staff on appropriate projects. Employee may serve as Manager in an “acting” capacity when needed.",2.7,"Metropolitan Atlanta Rapid Transit Authority (MARTA)
2.7","Atlanta, GA",1001 to 5000 Employees,-1,Company - Private,Transportation Management,Transportation & Logistics,$100 to $500 million (USD)
Data Analyst,Employer Provided Salary:$90K,"Data Mining Analyst (ETL)
About us
LDSS is a Woman-Owned Small Business headquartered in Dayton, Ohio. We have built a strong reputation with our customers as a premier provider of highly-qualified and capable professionals delivering Leading and Dynamic Services and Solutions!
LDSS is looking for a data analyst for one of our long time DoD clients. The data team is mining data from legacy logistics systems and migrating that data to an Air Force platform/Cloud. As they mine the data, they are performing analysis and cleansing as part of the migration process. They are following an extract, transform and load (ETL) process and using structured query language for this effort. The government program is conducting a proof of concept for this work using Appian, a low-code application development capability to perform the same ETL function. There is a large number of legacy systems and a lot of data that needs to eventually be migrated to the AF platform and using Appian will improve this process.",-1,LDSS,"Wright Patterson AFB, OH",-1,-1,-1,-1,-1,-1
Data Analyst,$39K - $86K (Glassdoor est.),"Tetra Tech is a leading provider of consulting, engineering, and technical services worldwide. Our reputation rests on the technical expertise and dedication of our employees—16,000 people working together across disciplines and time zones to provide smart, sustainable solutions for challenging projects. We are proud to be home to leading technical experts in water, environment, infrastructure, resource management, energy, and international development. Tetra Tech combines the resources of a global, multibillion dollar company with local, client-focused delivery in 400 locations around the world. We offer competitive compensation and benefits and are searching for innovative people to join our teams.
Tetra Tech’s Disaster Recovery Unit is looking for a Data Analyst. This is a non-traveling role, but may develop into a traveling position following mastery of the material.
Responsibilities will include data entry and reconciliation, payroll verification, report development and file organization.",3.6,"Tetra Tech Inc.
3.6","Laplace, LA",10000+ Employees,1966,Company - Public,Architectural & Engineering Services,Business Services,$2 to $5 billion (USD)
